run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
19,fc509828efbd42208c1a481b24dfd327,703157110,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,3.31,1,1,4,0,0,0,289,60,1,0.0,46,1,"{'start_auto_explore': 3, 'move': 41, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 43, 'auto_explore_active': 8, 'visible_enemies_turns': 45, 'low_hp': 39}","{'explore': 3, 'combat_engage': 41, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:54:54.960107,-1,56,-0.017857142857142856,
20,8713ec0272a54db0af23e02234abc8a3,706536023,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,9.52,1,1,5,14,1,0,600,134,1,0.0,124,1,"{'start_auto_explore': 72, 'move': 35, 'noop': 1, 'drink_potion': 1, 'pickup': 14, 'abort': 1}","{'in_explore': 73, 'in_combat': 37, 'auto_explore_active': 71, 'visible_enemies_turns': 36, 'low_hp': 30, 'in_loot': 14, 'floor_complete': 1}","{'explore': 72, 'combat_engage': 35, 'idle': 1, 'heal_low_hp': 1, 'loot': 14, 'no_stairs': 1}",,2025-12-12T17:55:04.553699,40,56,0.7142857142857143,
21,eba45b501e1d4714818b9cf748774319,716128942,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,9.03,1,1,5,15,1,0,600,152,1,0.0,140,1,"{'start_auto_explore': 83, 'move': 39, 'noop': 1, 'drink_potion': 1, 'pickup': 15, 'abort': 1}","{'in_explore': 84, 'in_combat': 41, 'auto_explore_active': 82, 'visible_enemies_turns': 40, 'low_hp': 33, 'in_loot': 15, 'floor_complete': 1}","{'explore': 83, 'combat_engage': 39, 'idle': 1, 'heal_low_hp': 1, 'loot': 15, 'no_stairs': 1}",,2025-12-12T17:55:13.643844,40,56,0.7142857142857143,
22,67a8f8582f7a4855b752105af27f2316,725219415,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,2.47,1,1,4,0,0,0,306,67,1,0.0,53,1,"{'start_auto_explore': 3, 'move': 48, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 50, 'auto_explore_active': 8, 'visible_enemies_turns': 52, 'low_hp': 44}","{'explore': 3, 'combat_engage': 48, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:55:16.171863,-8,56,-0.14285714285714285,
23,a9f32510bb1649b8929cae5ef59ecd12,727747214,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,14.82,1,1,5,15,1,0,600,137,1,0.0,129,1,"{'start_auto_explore': 71, 'move': 40, 'noop': 1, 'drink_potion': 1, 'pickup': 15, 'abort': 1}","{'in_explore': 72, 'in_combat': 42, 'auto_explore_active': 70, 'visible_enemies_turns': 41, 'low_hp': 35, 'in_loot': 15, 'floor_complete': 1}","{'explore': 71, 'combat_engage': 40, 'idle': 1, 'heal_low_hp': 1, 'loot': 15, 'no_stairs': 1}",,2025-12-12T17:55:31.067930,38,56,0.6785714285714286,
24,f2f3e71fc8014ff0b3d7b162009e77de,742643751,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,11.48,1,1,5,16,1,0,600,132,1,0.0,122,1,"{'start_auto_explore': 63, 'move': 40, 'noop': 1, 'drink_potion': 1, 'pickup': 16, 'abort': 1}","{'in_explore': 64, 'in_combat': 42, 'auto_explore_active': 62, 'visible_enemies_turns': 41, 'low_hp': 34, 'in_loot': 16, 'floor_complete': 1}","{'explore': 63, 'combat_engage': 40, 'idle': 1, 'heal_low_hp': 1, 'loot': 16, 'no_stairs': 1}",,2025-12-12T17:55:42.603401,37,56,0.6607142857142857,
25,c72e3a87194447e79dcb4c422cb25013,754178954,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,9.43,1,1,5,2,1,0,289,67,1,0.0,52,1,"{'start_auto_explore': 3, 'move': 38, 'noop': 1, 'drink_potion': 7, 'pickup': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 46, 'auto_explore_active': 11, 'visible_enemies_turns': 41, 'low_hp': 39, 'in_loot': 3}","{'explore': 3, 'combat_engage': 38, 'idle': 1, 'heal_low_hp': 7, 'loot': 2, 'stuck_movement_blocked': 1}",,2025-12-12T17:55:52.097245,39,56,0.6964285714285714,
26,e51ee95227a641b791bd9c9cbcc07e19,763673072,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,5.67,1,1,5,1,1,0,289,81,1,0.0,61,1,"{'start_auto_explore': 3, 'move': 54, 'noop': 1, 'drink_potion': 1, 'pickup': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 56, 'auto_explore_active': 8, 'visible_enemies_turns': 57, 'low_hp': 51, 'in_loot': 2}","{'explore': 3, 'combat_engage': 54, 'idle': 1, 'heal_low_hp': 1, 'loot': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:55:57.847384,40,56,0.7142857142857143,
27,ce3e7f819ca2447aa35f317d51d9d61e,769422690,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,6.79,1,1,5,14,1,0,600,133,1,0.0,132,1,"{'start_auto_explore': 82, 'move': 33, 'noop': 1, 'drink_potion': 1, 'pickup': 14, 'abort': 1}","{'in_explore': 83, 'in_combat': 35, 'auto_explore_active': 81, 'visible_enemies_turns': 34, 'low_hp': 27, 'in_loot': 14, 'floor_complete': 1}","{'explore': 82, 'combat_engage': 33, 'idle': 1, 'heal_low_hp': 1, 'loot': 14, 'no_stairs': 1}",,2025-12-12T17:56:04.700442,27,56,0.48214285714285715,
28,2978cb4b19ef4b8db39964d2cac3fb55,776275941,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,4.71,1,1,5,2,1,0,289,76,1,0.0,61,1,"{'start_auto_explore': 3, 'move': 47, 'noop': 1, 'drink_potion': 7, 'pickup': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 55, 'auto_explore_active': 11, 'visible_enemies_turns': 50, 'low_hp': 49, 'in_loot': 3}","{'explore': 3, 'combat_engage': 47, 'idle': 1, 'heal_low_hp': 7, 'loot': 2, 'stuck_movement_blocked': 1}",,2025-12-12T17:56:09.469071,35,56,0.625,
