run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
38,90c227cd15384bf2b3d3a7bbcae69b14,251423296,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.7,1,1,3,7,0,0,600,104,1,0.0,110,1,"{'start_auto_explore': 82, 'move': 19, 'noop': 1, 'pickup': 7, 'abort': 1}","{'in_explore': 83, 'in_combat': 20, 'auto_explore_active': 81, 'visible_enemies_turns': 20, 'low_hp': 102, 'in_loot': 7, 'floor_complete': 1}","{'explore': 82, 'combat_engage': 19, 'idle': 1, 'loot': 7, 'no_stairs': 1}",,2025-12-12T17:47:22.600085,0,56,0.0,
39,88772405573a42669a0d530abc5c237b,254175195,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.7,1,1,3,6,0,0,600,110,1,0.0,111,1,"{'start_auto_explore': 71, 'move': 32, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 72, 'in_combat': 33, 'auto_explore_active': 70, 'visible_enemies_turns': 33, 'low_hp': 102, 'in_loot': 6, 'floor_complete': 1}","{'explore': 71, 'combat_engage': 32, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:47:25.356078,-1,56,-0.017857142857142856,
40,4d072bc4001d482e9a389fbd74c82146,256931500,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.5,1,1,3,4,0,0,600,95,1,0.0,99,1,"{'start_auto_explore': 67, 'move': 26, 'noop': 1, 'pickup': 4, 'abort': 1}","{'in_explore': 68, 'in_combat': 27, 'auto_explore_active': 66, 'visible_enemies_turns': 27, 'low_hp': 91, 'in_loot': 4, 'floor_complete': 1}","{'explore': 67, 'combat_engage': 26, 'idle': 1, 'loot': 4, 'no_stairs': 1}",,2025-12-12T17:47:27.910705,-3,56,-0.05357142857142857,
41,a51983b1a6044b6da2342a103ad560e3,259486071,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.75,1,1,3,4,0,0,600,105,1,0.0,107,1,"{'start_auto_explore': 77, 'move': 24, 'noop': 1, 'pickup': 4, 'abort': 1}","{'in_explore': 78, 'in_combat': 25, 'auto_explore_active': 76, 'visible_enemies_turns': 25, 'low_hp': 100, 'in_loot': 4, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 24, 'idle': 1, 'loot': 4, 'no_stairs': 1}",,2025-12-12T17:47:30.711601,-1,56,-0.017857142857142856,
42,d6e5d4e9d35144fcb21d7337be6774b5,262286974,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.03,1,1,3,4,0,0,600,116,1,0.0,119,1,"{'start_auto_explore': 78, 'move': 35, 'noop': 1, 'pickup': 4, 'abort': 1}","{'in_explore': 79, 'in_combat': 36, 'auto_explore_active': 77, 'visible_enemies_turns': 36, 'low_hp': 110, 'in_loot': 4, 'floor_complete': 1}","{'explore': 78, 'combat_engage': 35, 'idle': 1, 'loot': 4, 'no_stairs': 1}",,2025-12-12T17:47:33.798849,-2,56,-0.03571428571428571,
43,1d531474288e491abe44b140b4fdd324,265374284,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.29,1,1,3,5,0,0,600,88,1,0.0,92,1,"{'start_auto_explore': 58, 'move': 27, 'noop': 1, 'pickup': 5, 'abort': 1}","{'in_explore': 59, 'in_combat': 28, 'auto_explore_active': 57, 'visible_enemies_turns': 28, 'low_hp': 85, 'in_loot': 5, 'floor_complete': 1}","{'explore': 58, 'combat_engage': 27, 'idle': 1, 'loot': 5, 'no_stairs': 1}",,2025-12-12T17:47:36.147380,-2,56,-0.03571428571428571,
44,cf2fe934224b450abba644cbf6235926,267722748,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.41,1,1,3,5,0,0,600,91,1,0.0,95,1,"{'start_auto_explore': 68, 'move': 20, 'noop': 1, 'pickup': 5, 'abort': 1}","{'in_explore': 69, 'in_combat': 21, 'auto_explore_active': 67, 'visible_enemies_turns': 21, 'low_hp': 84, 'in_loot': 5, 'floor_complete': 1}","{'explore': 68, 'combat_engage': 20, 'idle': 1, 'loot': 5, 'no_stairs': 1}",,2025-12-12T17:47:38.609206,-3,56,-0.05357142857142857,
45,f04adcb96a5e460aa43916389c2b0205,270184677,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.99,1,1,3,6,0,0,600,111,1,0.0,117,1,"{'start_auto_explore': 81, 'move': 28, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 82, 'in_combat': 29, 'auto_explore_active': 80, 'visible_enemies_turns': 29, 'low_hp': 110, 'in_loot': 6, 'floor_complete': 1}","{'explore': 81, 'combat_engage': 28, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:47:41.654563,-9,56,-0.16071428571428573,
46,386e28f554e54d7ebd44acd85baeb347,273229950,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,1.97,1,1,3,2,0,0,600,77,1,0.0,78,1,"{'start_auto_explore': 52, 'move': 22, 'noop': 1, 'pickup': 2, 'abort': 1}","{'in_explore': 53, 'in_combat': 23, 'auto_explore_active': 51, 'visible_enemies_turns': 23, 'low_hp': 69, 'in_loot': 2, 'floor_complete': 1}","{'explore': 52, 'combat_engage': 22, 'idle': 1, 'loot': 2, 'no_stairs': 1}",,2025-12-12T17:47:43.675475,-6,56,-0.10714285714285714,
47,72397c28121d476e8528f750ead368eb,275250793,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.28,1,1,3,3,0,0,600,90,1,0.0,91,1,"{'start_auto_explore': 55, 'move': 31, 'noop': 1, 'pickup': 3, 'abort': 1}","{'in_explore': 56, 'in_combat': 32, 'auto_explore_active': 54, 'visible_enemies_turns': 32, 'low_hp': 86, 'in_loot': 3, 'floor_complete': 1}","{'explore': 55, 'combat_engage': 31, 'idle': 1, 'loot': 3, 'no_stairs': 1}",,2025-12-12T17:47:46.022984,-1,56,-0.017857142857142856,
48,5de1ce275f744fb4a388606297d0e65d,277598352,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.08,1,1,3,6,0,0,600,117,1,0.0,121,1,"{'start_auto_explore': 84, 'move': 29, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 85, 'in_combat': 30, 'auto_explore_active': 83, 'visible_enemies_turns': 30, 'low_hp': 115, 'in_loot': 6, 'floor_complete': 1}","{'explore': 84, 'combat_engage': 29, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:47:49.153046,-2,56,-0.03571428571428571,
49,b5a7d29114a64f33898eaf64899ef174,280728493,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.23,1,1,3,6,0,0,600,122,1,0.0,127,1,"{'start_auto_explore': 83, 'move': 36, 'noop': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 84, 'in_combat': 37, 'auto_explore_active': 82, 'visible_enemies_turns': 37, 'low_hp': 121, 'in_loot': 6, 'floor_complete': 1}","{'explore': 83, 'combat_engage': 36, 'idle': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-12T17:47:52.440931,0,56,0.0,
50,c158acb5e2c042ccb250ce7aad6ecfaa,284016405,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,2.36,1,1,3,5,0,0,600,90,1,0.0,94,1,"{'start_auto_explore': 59, 'move': 28, 'noop': 1, 'pickup': 5, 'abort': 1}","{'in_explore': 60, 'in_combat': 29, 'auto_explore_active': 58, 'visible_enemies_turns': 29, 'low_hp': 87, 'in_loot': 5, 'floor_complete': 1}","{'explore': 59, 'combat_engage': 28, 'idle': 1, 'loot': 5, 'no_stairs': 1}",,2025-12-12T17:47:54.857874,-7,56,-0.125,
