run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
14,9fac01960bed45ff976ab3321a320f60,1333710468,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.6,1,1,4,5,2,0,840,126,1,0.0,133,1,"{'start_auto_explore': 102, 'move': 23, 'drink_potion': 2, 'pickup': 5, 'abort': 1}","{'in_explore': 103, 'in_combat': 25, 'auto_explore_active': 101, 'visible_enemies_turns': 25, 'low_hp': 3, 'in_loot': 5, 'floor_complete': 1}","{'explore': 102, 'combat_engage': 23, 'heal_low_hp': 2, 'loot': 5, 'no_stairs': 1}",,2025-12-13T16:09:42.674091,26,56,0.4642857142857143,
15,f0dbd8a81ff44820bb25d41e144d7736,1337354441,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.73,1,1,4,6,4,0,840,131,1,0.0,139,1,"{'start_auto_explore': 105, 'move': 23, 'drink_potion': 4, 'pickup': 6, 'abort': 1}","{'in_explore': 106, 'in_combat': 27, 'auto_explore_active': 104, 'visible_enemies_turns': 27, 'low_hp': 5, 'in_loot': 6, 'floor_complete': 1}","{'explore': 105, 'combat_engage': 23, 'heal_low_hp': 4, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:09:46.464536,47,56,0.8392857142857143,
16,bd77e8f60fc446b6a919e1b6b69a1313,1341144805,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.53,1,1,5,6,2,0,840,123,1,0.0,131,1,"{'start_auto_explore': 103, 'move': 19, 'drink_potion': 2, 'pickup': 6, 'abort': 1}","{'in_explore': 104, 'in_combat': 21, 'auto_explore_active': 102, 'visible_enemies_turns': 21, 'low_hp': 1, 'in_loot': 6, 'floor_complete': 1}","{'explore': 103, 'combat_engage': 19, 'heal_low_hp': 1, 'potion': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:09:50.043609,29,56,0.5178571428571429,
17,611a4e53c83444639986d7350ddeaaf9,1344723976,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.62,1,1,4,5,2,0,840,127,1,0.0,134,1,"{'start_auto_explore': 101, 'move': 25, 'drink_potion': 2, 'pickup': 5, 'abort': 1}","{'in_explore': 102, 'in_combat': 27, 'auto_explore_active': 100, 'visible_enemies_turns': 27, 'low_hp': 114, 'in_loot': 5, 'floor_complete': 1}","{'explore': 101, 'combat_engage': 25, 'heal_low_hp': 2, 'loot': 5, 'no_stairs': 1}",,2025-12-13T16:09:53.714657,19,56,0.3392857142857143,
18,d6b5e8d56fcb415abd4472835f46a5c5,1348395066,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.8,1,1,5,7,3,0,840,131,1,0.0,141,1,"{'start_auto_explore': 105, 'move': 25, 'drink_potion': 3, 'pickup': 7, 'abort': 1}","{'in_explore': 106, 'in_combat': 28, 'auto_explore_active': 104, 'visible_enemies_turns': 28, 'low_hp': 4, 'in_loot': 7, 'floor_complete': 1}","{'explore': 105, 'combat_engage': 25, 'heal_low_hp': 3, 'loot': 7, 'no_stairs': 1}",,2025-12-13T16:09:57.561648,33,56,0.5892857142857143,
19,8b564a20cfaa4f6d8e4133031b5b22db,1352241983,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.63,1,1,3,7,2,0,840,126,1,0.0,136,1,"{'start_auto_explore': 104, 'move': 22, 'drink_potion': 2, 'pickup': 7, 'abort': 1}","{'in_explore': 105, 'in_combat': 24, 'auto_explore_active': 103, 'visible_enemies_turns': 24, 'low_hp': 1, 'in_loot': 7, 'floor_complete': 1}","{'explore': 104, 'combat_engage': 22, 'heal_low_hp': 1, 'potion': 1, 'loot': 7, 'no_stairs': 1}",,2025-12-13T16:10:01.239350,39,56,0.6964285714285714,
20,57559a7147694004900e02b77ad90291,1355920147,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.67,1,1,5,6,2,0,840,128,1,0.0,136,1,"{'start_auto_explore': 103, 'move': 24, 'drink_potion': 2, 'pickup': 6, 'abort': 1}","{'in_explore': 104, 'in_combat': 26, 'auto_explore_active': 102, 'visible_enemies_turns': 26, 'low_hp': 2, 'in_loot': 6, 'floor_complete': 1}","{'explore': 103, 'combat_engage': 24, 'heal_low_hp': 2, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:10:04.953794,45,56,0.8035714285714286,
21,d7c9d087c3e745a0bc1ce55831d18363,1359634126,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.44,1,1,4,5,0,0,840,118,1,0.0,127,1,"{'start_auto_explore': 102, 'move': 19, 'pickup': 5, 'abort': 1}","{'in_explore': 103, 'in_combat': 19, 'auto_explore_active': 101, 'visible_enemies_turns': 19, 'in_loot': 5, 'floor_complete': 1}","{'explore': 102, 'combat_engage': 19, 'loot': 5, 'no_stairs': 1}",,2025-12-13T16:10:08.440371,33,56,0.5892857142857143,
22,379f7e615f1e40efaec19f4f1c617d6f,1363120638,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.57,1,1,4,6,2,0,840,124,1,0.0,134,1,"{'start_auto_explore': 103, 'move': 22, 'drink_potion': 2, 'pickup': 6, 'abort': 1}","{'in_explore': 104, 'in_combat': 24, 'auto_explore_active': 102, 'visible_enemies_turns': 24, 'in_loot': 6, 'floor_complete': 1}","{'explore': 103, 'combat_engage': 22, 'potion': 2, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:10:12.058998,56,56,1.0,
23,e2cf813598b14931aeca4db745a82896,1366739350,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.41,1,1,4,5,2,0,840,125,1,0.0,132,1,"{'start_auto_explore': 102, 'move': 22, 'drink_potion': 2, 'pickup': 5, 'abort': 1}","{'in_explore': 103, 'in_combat': 24, 'auto_explore_active': 101, 'visible_enemies_turns': 24, 'low_hp': 3, 'in_loot': 5, 'floor_complete': 1}","{'explore': 102, 'combat_engage': 22, 'heal_low_hp': 2, 'loot': 5, 'no_stairs': 1}",,2025-12-13T16:10:15.529935,35,56,0.625,
24,f9102375dfa8491ea9f81b0401950287,1370210224,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.53,1,1,3,5,1,0,840,121,1,0.0,132,1,"{'start_auto_explore': 102, 'move': 23, 'drink_potion': 1, 'pickup': 5, 'abort': 1}","{'in_explore': 103, 'in_combat': 24, 'auto_explore_active': 103, 'visible_enemies_turns': 26, 'low_hp': 3, 'in_loot': 5, 'floor_complete': 1}","{'explore': 102, 'combat_engage': 23, 'heal_low_hp': 1, 'loot': 5, 'no_stairs': 1}",,2025-12-13T16:10:19.114323,29,56,0.5178571428571429,
25,8175c7c0f5d8434eb835a05cb4e08f42,1373794711,plague_gauntlet,balanced,death,death,,monster_spotted,0.3,1,1,2,0,0,0,462,11,1,0.0,13,1,"{'start_auto_explore': 1, 'move': 11, 'noop': 1}","{'in_explore': 1, 'in_combat': 12, 'auto_explore_active': 1, 'visible_enemies_turns': 12, 'low_hp': 3}","{'explore': 1, 'combat_engage': 11, 'idle': 1}",,2025-12-13T16:10:19.488224,-4,56,-0.07142857142857142,1
26,3c902f85ee0749a6bf2f2a40958d03fa,1374168416,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.46,1,1,4,4,1,0,840,121,1,0.0,128,1,"{'start_auto_explore': 97, 'move': 25, 'drink_potion': 1, 'pickup': 4, 'abort': 1}","{'in_explore': 98, 'in_combat': 26, 'auto_explore_active': 97, 'visible_enemies_turns': 28, 'low_hp': 112, 'in_loot': 4, 'floor_complete': 1}","{'explore': 97, 'combat_engage': 25, 'heal_low_hp': 1, 'loot': 4, 'no_stairs': 1}",,2025-12-13T16:10:22.997873,20,56,0.35714285714285715,
27,bde5f236083d4d88a807e99bb6e8272a,1377678110,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.4,1,1,4,4,1,0,840,118,1,0.0,126,1,"{'start_auto_explore': 99, 'move': 21, 'drink_potion': 1, 'pickup': 4, 'abort': 1}","{'in_explore': 100, 'in_combat': 22, 'auto_explore_active': 98, 'visible_enemies_turns': 22, 'low_hp': 4, 'in_loot': 4, 'floor_complete': 1}","{'explore': 99, 'combat_engage': 21, 'heal_low_hp': 1, 'loot': 4, 'no_stairs': 1}",,2025-12-13T16:10:26.449508,32,56,0.5714285714285714,
28,302c326be89f418e90139fdd02633ec1,1381129848,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.65,1,1,3,6,1,0,840,127,1,0.0,136,1,"{'start_auto_explore': 104, 'move': 24, 'drink_potion': 1, 'pickup': 6, 'abort': 1}","{'in_explore': 105, 'in_combat': 25, 'auto_explore_active': 103, 'visible_enemies_turns': 25, 'low_hp': 1, 'in_loot': 6, 'floor_complete': 1}","{'explore': 104, 'combat_engage': 24, 'heal_low_hp': 1, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:10:30.152844,55,56,0.9821428571428571,
29,9f198ebed2894c9d9f8e2c5593644e7a,1384833102,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.51,1,1,4,4,2,0,840,122,1,0.0,130,1,"{'start_auto_explore': 100, 'move': 23, 'drink_potion': 2, 'pickup': 4, 'abort': 1}","{'in_explore': 101, 'in_combat': 25, 'auto_explore_active': 103, 'visible_enemies_turns': 27, 'low_hp': 2, 'in_loot': 4, 'floor_complete': 1}","{'explore': 100, 'combat_engage': 23, 'heal_low_hp': 2, 'loot': 4, 'no_stairs': 1}",,2025-12-13T16:10:33.707588,39,56,0.6964285714285714,
30,4431ebed04564045938f50d733296c2f,1388387867,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.64,1,1,3,6,2,0,840,126,1,0.0,135,1,"{'start_auto_explore': 103, 'move': 23, 'drink_potion': 2, 'pickup': 6, 'abort': 1}","{'in_explore': 104, 'in_combat': 25, 'auto_explore_active': 102, 'visible_enemies_turns': 25, 'low_hp': 2, 'in_loot': 6, 'floor_complete': 1}","{'explore': 103, 'combat_engage': 23, 'heal_low_hp': 2, 'loot': 6, 'no_stairs': 1}",,2025-12-13T16:10:37.400000,50,56,0.8928571428571429,
