run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
28,1e09811a77924693b686ed84f036b872,254652641,plague_gauntlet,balanced,death,death,,monster_spotted,0.4,1,1,2,0,0,0,462,16,1,0.0,17,1,"{'start_auto_explore': 1, 'move': 15, 'noop': 1}","{'in_explore': 1, 'in_combat': 16, 'auto_explore_active': 1, 'visible_enemies_turns': 16, 'low_hp': 4}","{'explore': 1, 'combat_engage': 15, 'idle': 1}",,2025-12-13T08:42:10.646892,-4,56,-0.07142857142857142,0
29,5090d11a33d645c68ede88e34ecb1d29,255130936,plague_gauntlet,balanced,death,death,,monster_spotted,0.37,1,1,2,0,0,0,462,15,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 3}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T08:42:11.095010,-6,56,-0.10714285714285714,0
30,08297a6a4bda48b184751ed545d2fcee,255578938,plague_gauntlet,balanced,death,death,,monster_spotted,0.45,1,1,2,0,0,0,462,17,1,0.0,19,1,"{'start_auto_explore': 1, 'move': 17, 'noop': 1}","{'in_explore': 1, 'in_combat': 18, 'auto_explore_active': 1, 'visible_enemies_turns': 18, 'low_hp': 5}","{'explore': 1, 'combat_engage': 17, 'idle': 1}",,2025-12-13T08:42:11.621373,-3,56,-0.05357142857142857,0
31,7efc9d59ba5d406c860aecc37fd80b68,256105253,plague_gauntlet,balanced,death,death,,monster_spotted,0.27,1,1,2,0,0,0,462,9,1,0.0,12,1,"{'start_auto_explore': 1, 'move': 10, 'noop': 1}","{'in_explore': 1, 'in_combat': 11, 'auto_explore_active': 1, 'visible_enemies_turns': 11, 'low_hp': 2}","{'explore': 1, 'combat_engage': 10, 'idle': 1}",,2025-12-13T08:42:11.963348,-3,56,-0.05357142857142857,0
32,3a00187a6d66402e947011c0f5ae5871,256447249,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.53,1,1,5,6,1,0,840,124,1,0.0,133,1,"{'start_auto_explore': 103, 'move': 22, 'pickup': 6, 'drink_potion': 1, 'abort': 1}","{'in_explore': 104, 'in_combat': 22, 'auto_explore_active': 102, 'visible_enemies_turns': 22, 'low_hp': 10, 'in_loot': 7, 'floor_complete': 1}","{'explore': 103, 'combat_engage': 22, 'loot': 6, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:42:15.552674,45,56,0.8035714285714286,
33,1e255b40b6ee4afda52b22e56dba3b4d,260037348,plague_gauntlet,balanced,death,death,,monster_spotted,0.37,1,1,1,0,0,0,462,14,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 4}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T08:42:16.000893,0,56,0.0,0
34,309f19bffa7d410194c3653042832de0,260484803,plague_gauntlet,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,3.04,1,1,4,3,1,0,840,117,1,0.0,121,1,"{'start_auto_explore': 96, 'move': 20, 'pickup': 3, 'drink_potion': 1, 'abort': 1}","{'in_explore': 97, 'in_combat': 20, 'auto_explore_active': 95, 'visible_enemies_turns': 20, 'low_hp': 9, 'in_loot': 4, 'floor_complete': 1}","{'explore': 96, 'combat_engage': 20, 'loot': 3, 'heal_low_hp': 1, 'no_stairs': 1}",,2025-12-13T08:42:19.096564,56,56,1.0,
35,92da68cdc2504a3b8671fc6d957dad1a,263580932,plague_gauntlet,balanced,death,death,,monster_spotted,0.3,1,1,2,0,0,0,462,10,1,0.0,13,1,"{'start_auto_explore': 1, 'move': 11, 'noop': 1}","{'in_explore': 1, 'in_combat': 12, 'auto_explore_active': 1, 'visible_enemies_turns': 12, 'low_hp': 5}","{'explore': 1, 'combat_engage': 11, 'idle': 1}",,2025-12-13T08:42:19.468513,-7,56,-0.125,0
36,53bc503318be40aebc18e29c3829d792,263952427,plague_gauntlet,balanced,death,death,,monster_spotted,0.37,1,1,2,0,0,0,462,13,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 4}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T08:42:19.916308,-5,56,-0.08928571428571429,0
37,4da55cea72a84f5c9d5f42982f111cf9,264400189,plague_gauntlet,balanced,death,death,,monster_spotted,0.42,1,1,1,0,0,0,462,16,1,0.0,18,1,"{'start_auto_explore': 1, 'move': 16, 'noop': 1}","{'in_explore': 1, 'in_combat': 17, 'auto_explore_active': 1, 'visible_enemies_turns': 17, 'low_hp': 3}","{'explore': 1, 'combat_engage': 16, 'idle': 1}",,2025-12-13T08:42:20.414692,-2,56,-0.03571428571428571,0
