run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
1,36427bfe58f241a08d5fbbee6ce3c77d,718395653,balanced,run_complete,none,Reached maximum floor limit,,0.35,1,1,0,0,0,0,0,0,1,232.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:07:45.157135,56,56,1.0,
2,6383bd3da40c4262af3b7a608c068495,719183300,balanced,run_complete,none,Reached maximum floor limit,,0.05,1,1,0,0,0,0,0,0,1,377.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:07:45.858749,56,56,1.0,
3,908574d5557c4e708ac108a7212b36e2,719884717,balanced,run_complete,none,Reached maximum floor limit,,0.03,1,1,0,0,0,0,0,0,1,261.0,1,1,{'start_auto_explore': 1},{'in_explore': 1},{'explore': 1},,2025-12-12T16:07:46.359391,56,56,1.0,
