run_number,run_id,seed,scenario_id,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
18,f8f62f8c5b7741b38a9fffcff8962b55,1228893631,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.65,1,1,1,0,3,0,237,32,1,0.0,28,1,"{'start_auto_explore': 1, 'move': 23, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 27, 'auto_explore_active': 1, 'visible_enemies_turns': 27, 'low_hp': 9}","{'explore': 1, 'combat_engage': 23, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:07:54.935964,-3,56,-0.05357142857142857,0
19,804c38ca4d01451cb29835b26a5eb8f8,1229616288,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,2.08,1,1,3,0,3,0,520,89,1,0.0,82,1,"{'start_auto_explore': 1, 'move': 77, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 81, 'auto_explore_active': 1, 'visible_enemies_turns': 81, 'low_hp': 64}","{'explore': 1, 'combat_engage': 77, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:07:57.100436,-1,56,-0.017857142857142856,0
20,dd7039e283524e15b099c657626e2796,1231780833,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.35,1,1,1,0,0,0,237,17,1,0.0,16,1,"{'start_auto_explore': 1, 'move': 14, 'noop': 1}","{'in_explore': 1, 'in_combat': 15, 'auto_explore_active': 1, 'visible_enemies_turns': 15, 'low_hp': 2}","{'explore': 1, 'combat_engage': 14, 'idle': 1}",,2025-12-13T16:07:57.532887,-3,56,-0.05357142857142857,1
21,c58d82b43f784f9c8744d3a69b01a076,1232213072,orc_gauntlet_5rooms,balanced,death,death,,other,1.98,1,1,3,0,3,0,500,91,1,0.0,79,1,"{'start_auto_explore': 3, 'move': 72, 'drink_potion': 3, 'noop': 1}","{'in_explore': 3, 'in_combat': 76, 'auto_explore_active': 5, 'visible_enemies_turns': 78, 'low_hp': 42}","{'explore': 3, 'combat_engage': 72, 'heal_low_hp': 3, 'idle': 1}",,2025-12-13T16:07:59.601053,-4,56,-0.07142857142857142,0
22,611fafb973af4434b28e87dd4d66a46b,1234282014,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.83,1,1,2,0,3,0,237,44,1,0.0,35,1,"{'start_auto_explore': 1, 'move': 30, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 34, 'auto_explore_active': 1, 'visible_enemies_turns': 34, 'low_hp': 10}","{'explore': 1, 'combat_engage': 30, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:08:00.522212,-4,56,-0.07142857142857142,0
23,a5fdd938bcda44a39cb8329e78b39fb3,1235202564,orc_gauntlet_5rooms,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,6.74,1,1,10,20,6,0,1080,247,1,0.0,257,1,"{'start_auto_explore': 154, 'move': 74, 'drink_potion': 8, 'pickup': 20, 'abort': 1}","{'in_explore': 155, 'in_combat': 82, 'auto_explore_active': 159, 'visible_enemies_turns': 102, 'low_hp': 41, 'in_loot': 20, 'floor_complete': 1}","{'explore': 154, 'combat_engage': 74, 'heal_low_hp': 8, 'loot': 20, 'no_stairs': 1}",,2025-12-13T16:08:07.320913,34,56,0.6071428571428571,
24,1d20a611bbda4ebb8e2057d9ab437cc7,1242001525,orc_gauntlet_5rooms,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,3.04,1,1,7,11,6,0,461,131,1,0.0,124,1,"{'start_auto_explore': 40, 'move': 66, 'drink_potion': 6, 'pickup': 11, 'abort': 1}","{'in_explore': 40, 'in_combat': 72, 'auto_explore_active': 43, 'visible_enemies_turns': 84, 'low_hp': 20, 'in_loot': 12}","{'explore': 40, 'combat_engage': 66, 'heal_low_hp': 5, 'potion': 1, 'loot': 11, 'stuck_movement_blocked': 1}",,2025-12-13T16:08:10.410175,48,56,0.8571428571428571,
25,07eb432a48f34455a6e395399674abb4,1245090708,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.72,1,1,2,0,3,0,237,37,1,0.0,31,1,"{'start_auto_explore': 1, 'move': 26, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 30, 'auto_explore_active': 1, 'visible_enemies_turns': 30, 'low_hp': 10}","{'explore': 1, 'combat_engage': 26, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:08:11.211352,-1,56,-0.017857142857142856,0
26,c936ae4006474636b20e27b9e18daf1d,1245891749,orc_gauntlet_5rooms,balanced,death,death,,other,5.13,1,1,9,15,6,0,1040,204,1,0.0,202,1,"{'start_auto_explore': 66, 'move': 114, 'drink_potion': 6, 'pickup': 15, 'noop': 1}","{'in_explore': 66, 'in_combat': 121, 'auto_explore_active': 77, 'visible_enemies_turns': 141, 'low_hp': 72, 'in_loot': 15}","{'explore': 66, 'combat_engage': 114, 'heal_low_hp': 4, 'loot': 15, 'potion': 2, 'idle': 1}",,2025-12-13T16:08:16.435781,-4,56,-0.07142857142857142,0
27,5aec2271be564db09595610f5a196112,1251116386,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,0.89,1,1,3,0,3,0,237,47,1,0.0,38,1,"{'start_auto_explore': 1, 'move': 33, 'drink_potion': 3, 'noop': 1}","{'in_explore': 1, 'in_combat': 37, 'auto_explore_active': 1, 'visible_enemies_turns': 37, 'low_hp': 14}","{'explore': 1, 'combat_engage': 33, 'heal_low_hp': 2, 'potion': 1, 'idle': 1}",,2025-12-13T16:08:17.404581,-4,56,-0.07142857142857142,0
28,3e38190e38c24558adc6f1ce8f5d12ee,1252084898,orc_gauntlet_5rooms,balanced,death,death,,other,4.79,1,1,8,15,6,0,1026,185,1,0.0,186,1,"{'start_auto_explore': 65, 'move': 99, 'drink_potion': 6, 'pickup': 15, 'noop': 1}","{'in_explore': 65, 'in_combat': 105, 'auto_explore_active': 76, 'visible_enemies_turns': 129, 'low_hp': 64, 'in_loot': 16}","{'explore': 65, 'combat_engage': 99, 'heal_low_hp': 6, 'loot': 15, 'idle': 1}",,2025-12-13T16:08:22.286495,-4,56,-0.07142857142857142,0
29,8f77c999160f41bf919e4a238b4a8e9a,1256967033,orc_gauntlet_5rooms,balanced,death,death,,other,1.88,1,1,3,0,3,0,500,83,1,0.0,75,1,"{'start_auto_explore': 3, 'move': 68, 'drink_potion': 3, 'noop': 1}","{'in_explore': 3, 'in_combat': 72, 'auto_explore_active': 8, 'visible_enemies_turns': 74, 'low_hp': 41}","{'explore': 3, 'combat_engage': 68, 'potion': 2, 'heal_low_hp': 1, 'idle': 1}",,2025-12-13T16:08:24.241033,0,56,0.0,0
30,5aa052af2cec41f2ae4a9fa152d4ae2e,1258921514,orc_gauntlet_5rooms,balanced,death,death,,monster_spotted,6.86,1,1,9,13,6,0,1065,266,1,0.0,258,1,"{'start_auto_explore': 63, 'move': 175, 'drink_potion': 6, 'pickup': 13, 'noop': 1}","{'in_explore': 63, 'in_combat': 181, 'auto_explore_active': 67, 'visible_enemies_turns': 201, 'low_hp': 120, 'in_loot': 14}","{'explore': 63, 'combat_engage': 175, 'heal_low_hp': 6, 'loot': 13, 'idle': 1}",,2025-12-13T16:08:31.203795,0,56,0.0,0
