run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
24,b8526d330e2b4240aec37b4ba1766ca6,440712031,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.51,1,1,3,0,0,0,600,96,1,0.0,97,1,"{'start_auto_explore': 77, 'move': 18, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 19, 'auto_explore_active': 75, 'visible_enemies_turns': 19, 'low_hp': 91, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 18, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:50:31.713624,0,56,0.0,
25,6913821ba2084cf4ba8478a127df3a3d,443288935,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.11,1,1,3,0,0,0,600,84,1,0.0,83,1,"{'start_auto_explore': 57, 'move': 24, 'noop': 1, 'abort': 1}","{'in_explore': 58, 'in_combat': 25, 'auto_explore_active': 55, 'visible_enemies_turns': 25, 'low_hp': 74, 'floor_complete': 1}","{'explore': 57, 'combat_engage': 24, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:50:33.880578,-4,56,-0.07142857142857142,
26,2b1130bf369b47cb93d04c5d44079443,445455853,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.46,1,1,3,0,0,0,600,94,1,0.0,96,1,"{'start_auto_explore': 66, 'move': 28, 'noop': 1, 'abort': 1}","{'in_explore': 67, 'in_combat': 29, 'auto_explore_active': 64, 'visible_enemies_turns': 29, 'low_hp': 89, 'floor_complete': 1}","{'explore': 66, 'combat_engage': 28, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:50:36.390251,-5,56,-0.08928571428571429,
27,f40e9635684a420d8bf8dc615540828c,447965578,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.56,1,1,3,0,0,0,600,100,1,0.0,100,1,"{'start_auto_explore': 66, 'move': 32, 'noop': 1, 'abort': 1}","{'in_explore': 67, 'in_combat': 33, 'auto_explore_active': 64, 'visible_enemies_turns': 33, 'low_hp': 90, 'floor_complete': 1}","{'explore': 66, 'combat_engage': 32, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:50:39.005658,0,56,0.0,
28,f26126b72d1841679f3ee574e5b1c9d2,450581015,aggressive,max_turns,max_turns,Hit turn limit (200),none,5.05,1,1,3,0,0,0,240,203,1,0.0,204,1,"{'start_auto_explore': 183, 'move': 20, 'noop': 1}","{'in_explore': 183, 'in_combat': 21, 'auto_explore_active': 182, 'visible_enemies_turns': 21, 'low_hp': 199}","{'explore': 183, 'combat_engage': 20, 'idle': 1}",,2025-12-12T17:50:44.109678,-3,56,-0.05357142857142857,
29,afb0879a107d4829a0d1e4cfec51037b,455685872,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.86,1,1,3,0,0,0,600,114,1,0.0,111,1,"{'start_auto_explore': 77, 'move': 32, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 33, 'auto_explore_active': 75, 'visible_enemies_turns': 33, 'low_hp': 102, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 32, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:50:47.035175,-3,56,-0.05357142857142857,
30,084a957596ed453ea49b2dce1ba0593c,458610597,aggressive,max_turns,max_turns,Hit turn limit (200),none,5.06,1,1,3,0,0,0,240,206,1,0.0,204,1,"{'start_auto_explore': 183, 'move': 20, 'noop': 1}","{'in_explore': 183, 'in_combat': 21, 'auto_explore_active': 182, 'visible_enemies_turns': 21, 'low_hp': 196}","{'explore': 183, 'combat_engage': 20, 'idle': 1}",,2025-12-12T17:50:52.150150,-4,56,-0.07142857142857142,
31,c3727e04ccc8473e8fb9dd26691ec79e,463726224,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.66,1,1,3,0,0,0,600,103,1,0.0,103,1,"{'start_auto_explore': 79, 'move': 22, 'noop': 1, 'abort': 1}","{'in_explore': 80, 'in_combat': 23, 'auto_explore_active': 77, 'visible_enemies_turns': 23, 'low_hp': 97, 'floor_complete': 1}","{'explore': 79, 'combat_engage': 22, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:50:54.868812,-2,56,-0.03571428571428571,
32,d17f8e027ad84826bc673280ffb74107,466444159,aggressive,max_turns,max_turns,Hit turn limit (200),none,5.07,1,1,3,0,0,0,240,208,1,0.0,204,1,"{'start_auto_explore': 169, 'move': 34, 'noop': 1}","{'in_explore': 169, 'in_combat': 35, 'auto_explore_active': 168, 'visible_enemies_turns': 35, 'low_hp': 194}","{'explore': 169, 'combat_engage': 34, 'idle': 1}",,2025-12-12T17:51:00.006999,-2,56,-0.03571428571428571,
33,4cc27e1f1f5240d4ab9f424c89cee959,471582927,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.08,1,1,3,0,0,0,600,80,1,0.0,82,1,"{'start_auto_explore': 56, 'move': 24, 'noop': 1, 'abort': 1}","{'in_explore': 57, 'in_combat': 25, 'auto_explore_active': 54, 'visible_enemies_turns': 25, 'low_hp': 76, 'floor_complete': 1}","{'explore': 56, 'combat_engage': 24, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:02.144341,-2,56,-0.03571428571428571,
34,6f895406f2ff4ab382266f6eeb2c6b0d,473719664,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.31,1,1,3,0,0,0,600,93,1,0.0,92,1,"{'start_auto_explore': 57, 'move': 33, 'noop': 1, 'abort': 1}","{'in_explore': 58, 'in_combat': 34, 'auto_explore_active': 55, 'visible_enemies_turns': 34, 'low_hp': 83, 'floor_complete': 1}","{'explore': 57, 'combat_engage': 33, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:04.508963,0,56,0.0,
35,a8fc92fd82b4478baf2ced02dfc74354,476084182,aggressive,no_stairs,no_stairs,no_stairs,all_areas_explored,2.68,1,1,3,0,0,0,600,102,1,0.0,104,1,"{'start_auto_explore': 77, 'move': 25, 'noop': 1, 'abort': 1}","{'in_explore': 78, 'in_combat': 26, 'auto_explore_active': 75, 'visible_enemies_turns': 26, 'low_hp': 96, 'floor_complete': 1}","{'explore': 77, 'combat_engage': 25, 'idle': 1, 'no_stairs': 1}",,2025-12-12T17:51:07.240672,-3,56,-0.05357142857142857,
