run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
38,0cdae39edca54843ad8123b9c0feba37,378703865,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,6.87,1,1,1,5,0,0,834,209,1,348.0,235,1,"{'start_auto_explore': 218, 'move': 11, 'pickup': 5, 'abort': 1}","{'in_explore': 219, 'auto_explore_active': 211, 'in_combat': 11, 'visible_enemies_turns': 11, 'in_loot': 5}","{'explore': 218, 'combat_engage': 11, 'loot': 5, 'stuck_movement_blocked': 1}",,2025-12-12T21:24:19.470383,39,56,0.6964285714285714,
39,e827a871979840b0b3218065492ccb57,386143987,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,44.92,3,3,13,27,5,0,77,1247,3,417.33,1317,3,"{'start_auto_explore': 651, 'move': 631, 'drink_potion': 5, 'pickup': 27, 'noop': 1, 'take_stairs': 2}","{'in_explore': 659, 'in_combat': 631, 'auto_explore_active': 926, 'visible_enemies_turns': 486, 'low_hp': 196, 'in_loot': 27, 'floor_complete': 205}","{'explore': 651, 'combat_engage': 623, 'heal_low_hp': 5, 'loot': 27, 'idle': 1, 'descend': 2, 'navigate': 8}",,2025-12-12T21:25:04.981017,56,56,1.0,
40,f6c05b6a759d4e91a8e5c93fe7887bf4,431656196,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,18.05,1,1,6,17,2,0,2588,553,1,261.0,592,1,"{'start_auto_explore': 461, 'move': 105, 'pickup': 17, 'drink_potion': 8, 'abort': 1}","{'in_explore': 461, 'in_combat': 113, 'auto_explore_active': 498, 'visible_enemies_turns': 115, 'in_loot': 18, 'low_hp': 22}","{'explore': 461, 'combat_engage': 105, 'loot': 17, 'heal_low_hp': 8, 'stuck_movement_blocked': 1}",,2025-12-12T21:25:23.477718,55,56,0.9821428571428571,
41,632bf408510c42259479a0eb70d92264,450151982,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,2.69,1,1,1,1,0,0,421,78,1,377.0,98,1,"{'start_auto_explore': 89, 'move': 7, 'pickup': 1, 'abort': 1}","{'in_explore': 90, 'in_combat': 7, 'auto_explore_active': 84, 'visible_enemies_turns': 25, 'in_loot': 1}","{'explore': 89, 'combat_engage': 7, 'loot': 1, 'stuck_movement_blocked': 1}",,2025-12-12T21:25:26.790172,56,56,1.0,
42,552fad61a6c44cd09db0803bbab573a6,453463453,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,50.17,3,3,15,30,6,0,121,1445,3,378.33,1463,3,"{'start_auto_explore': 745, 'pickup': 30, 'move': 678, 'drink_potion': 6, 'noop': 2, 'take_stairs': 2}","{'in_explore': 876, 'auto_explore_active': 1073, 'in_loot': 31, 'visible_enemies_turns': 591, 'in_combat': 556, 'low_hp': 269, 'floor_complete': 212}","{'explore': 745, 'loot': 30, 'combat_engage': 548, 'heal_low_hp': 6, 'idle': 2, 'navigate': 130, 'descend': 2}",,2025-12-12T21:26:17.493783,26,56,0.4642857142857143,
43,6f9f88cbff26414a9a20a8691c014918,504170333,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,46.63,3,3,10,20,2,0,113,1233,3,416.67,1271,3,"{'start_auto_explore': 932, 'move': 315, 'pickup': 20, 'drink_potion': 2, 'take_stairs': 2}","{'in_explore': 1008, 'in_combat': 243, 'auto_explore_active': 1037, 'visible_enemies_turns': 264, 'in_loot': 20, 'low_hp': 13, 'floor_complete': 114}","{'explore': 932, 'combat_engage': 240, 'loot': 20, 'heal_low_hp': 2, 'navigate': 75, 'descend': 2}",,2025-12-12T21:27:04.537566,56,56,1.0,
44,bd89c6eff3da4eb1a6d156782daf8132,551212649,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,46.89,3,3,11,31,4,0,112,1263,3,344.0,1335,3,"{'start_auto_explore': 949, 'move': 348, 'pickup': 31, 'noop': 1, 'drink_potion': 4, 'take_stairs': 2}","{'in_explore': 1052, 'in_combat': 252, 'auto_explore_active': 1005, 'visible_enemies_turns': 286, 'in_loot': 31, 'low_hp': 25, 'floor_complete': 178}","{'explore': 949, 'combat_engage': 246, 'loot': 31, 'idle': 1, 'heal_low_hp': 4, 'navigate': 102, 'descend': 2}",,2025-12-12T21:27:51.834583,42,56,0.75,
45,f768bcfdd5d2438fa57a12a17aad575f,598510735,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,34.95,3,3,11,29,3,0,146,923,3,329.33,1009,3,"{'start_auto_explore': 669, 'move': 306, 'pickup': 29, 'drink_potion': 3, 'take_stairs': 2}","{'in_explore': 783, 'in_combat': 197, 'auto_explore_active': 666, 'visible_enemies_turns': 194, 'in_loot': 29, 'low_hp': 26, 'floor_complete': 185}","{'explore': 669, 'combat_engage': 193, 'loot': 29, 'heal_low_hp': 3, 'navigate': 113, 'descend': 2}",,2025-12-12T21:28:27.269404,56,56,1.0,
46,d6c6f6f509e449b295861a104ebcdcfb,633944252,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,43.16,3,3,12,30,4,0,89,1171,3,378.67,1238,3,"{'start_auto_explore': 961, 'pickup': 30, 'move': 241, 'drink_potion': 4, 'take_stairs': 2}","{'in_explore': 961, 'auto_explore_active': 983, 'in_loot': 30, 'visible_enemies_turns': 178, 'in_combat': 247, 'low_hp': 14, 'floor_complete': 108}","{'explore': 961, 'loot': 30, 'combat_engage': 241, 'heal_low_hp': 4, 'descend': 2}",,2025-12-12T21:29:10.922728,56,56,1.0,
47,afeec97097d44cf882720de258acc188,677598607,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,14.69,1,1,4,12,1,0,2514,423,1,232.0,452,1,"{'start_auto_explore': 385, 'pickup': 12, 'move': 53, 'drink_potion': 1, 'abort': 1}","{'in_explore': 385, 'auto_explore_active': 380, 'in_loot': 12, 'in_combat': 55, 'visible_enemies_turns': 60, 'low_hp': 9}","{'explore': 385, 'loot': 12, 'combat_engage': 53, 'heal_low_hp': 1, 'stuck_movement_blocked': 1}",,2025-12-12T21:29:26.017973,11,56,0.19642857142857142,
48,66e7d2c7b6be460290b514c61a4301f4,692691897,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,47.4,3,3,7,19,3,0,74,1255,3,392.33,1323,3,"{'start_auto_explore': 1046, 'pickup': 19, 'move': 252, 'drink_potion': 3, 'noop': 1, 'take_stairs': 2}","{'in_explore': 1207, 'auto_explore_active': 1030, 'in_loot': 19, 'visible_enemies_turns': 120, 'in_combat': 97, 'low_hp': 21, 'floor_complete': 166}","{'explore': 1046, 'loot': 19, 'combat_engage': 93, 'heal_low_hp': 3, 'idle': 1, 'navigate': 159, 'descend': 2}",,2025-12-12T21:30:13.775279,56,56,1.0,
49,37b62a85be254af4b17458a71d83c015,740451685,balanced,run_complete,none,Reached maximum floor limit,all_areas_explored,38.97,3,3,11,23,4,0,109,1022,3,402.67,1098,3,"{'start_auto_explore': 795, 'pickup': 23, 'move': 274, 'drink_potion': 4, 'take_stairs': 2}","{'in_explore': 915, 'auto_explore_active': 821, 'in_loot': 23, 'visible_enemies_turns': 209, 'in_combat': 160, 'low_hp': 16, 'floor_complete': 121}","{'explore': 795, 'loot': 23, 'combat_engage': 156, 'heal_low_hp': 4, 'navigate': 118, 'descend': 2}",,2025-12-12T21:30:53.281583,56,56,1.0,
50,6e6b67ef8b10473a9b5acc207f3b4d83,779956447,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,1.91,1,1,2,5,0,0,234,51,1,377.0,69,1,"{'start_auto_explore': 45, 'move': 18, 'pickup': 5, 'abort': 1}","{'in_explore': 46, 'in_combat': 18, 'auto_explore_active': 41, 'visible_enemies_turns': 21, 'in_loot': 5}","{'explore': 45, 'combat_engage': 18, 'loot': 5, 'stuck_movement_blocked': 1}",,2025-12-12T21:30:55.809443,43,56,0.7678571428571429,
